sid,start_time,end_time,observation_count,lat_first,lat_min,lat_max,lon_first,lon_min,lon_max,basin,nature,storm_speed_mean,storm_dir_mean,season,duration_days,basin_name,storm_type
1856221N25277,1856-08-07 12:00:00,1856-08-14 12:00:00,57,25.2,25.2,32.3,-83.5,-92.7,-83.5,,TS,5.12280701754386,205.78947368421052,1856,7.0,,Tropical Storm
1856224N14330,1856-08-11 00:00:00,1856-08-23 12:00:00,101,14.0,14.0,47.8,-30.0,-67.5,-30.0,,TS,13.633663366336634,203.66336633663366,1856,12.5,,Tropical Storm
1856226N11308,1856-08-12 18:00:00,1856-08-16 06:00:00,29,10.8,10.8,17.0,-52.5,-79.0,-52.5,,TS,19.103448275862068,281.7241379310345,1856,3.5,,Tropical Storm
1856232N33285,1856-08-19 00:00:00,1856-08-21 12:00:00,22,32.5,32.5,41.0,-75.5,-76.5,-67.0,,TS,13.318181818181818,128.4090909090909,1856,2.5,,Tropical Storm
1856235N13302,1856-08-21 12:00:00,1856-09-03 18:00:00,107,13.4,13.4,39.5,-58.0,-87.4,-52.3,,TS,12.327102803738319,219.20560747663552,1856,13.25,,Tropical Storm
1856246N35284,1856-09-02 00:00:00,1856-09-05 12:00:00,29,34.8,34.8,44.0,-76.5,-76.5,-39.5,,TS,21.24137931034483,71.55172413793103,1856,3.5,,Tropical Storm
1856254N09333,1856-09-10 06:00:00,1856-09-22 18:00:00,101,9.0,9.0,37.1,-27.0,-53.0,-27.0,,TS,8.049504950495049,260.4950495049505,1856,12.5,,Tropical Storm
1856266N40308,1856-09-22 06:00:00,1856-09-23 12:00:00,11,40.0,40.0,48.6,-52.2,-52.3,-42.0,,TS,22.545454545454547,64.0909090909091,1856,1.25,,Tropical Storm
1856272N11336,1856-09-27 12:00:00,1856-10-01 12:00:00,33,11.4,11.4,14.8,-23.6,-42.5,-23.6,,TS,11.909090909090908,282.42424242424244,1856,4.0,,Tropical Storm
1856287N31319,1856-10-13 00:00:00,1856-10-18 00:00:00,41,30.8,30.8,56.0,-40.6,-40.6,-20.0,,TS,15.439024390243903,40.853658536585364,1856,5.0,,Tropical Storm
1857021S17059,1857-01-21 06:00:00,1857-01-26 06:00:00,41,-16.6,-24.6,-16.6,58.9,55.4,58.9,SI,NR,5.048780487804878,176.70731707317074,1857,5.0,South Indian,NR
1857032S15066,1857-02-01 06:00:00,1857-02-05 06:00:00,33,-15.0,-20.3,-15.0,66.1,59.7,66.1,SI,NR,5.0,229.24242424242425,1857,4.0,South Indian,NR
1857039S15066,1857-02-07 18:00:00,1857-02-10 06:00:00,21,-15.0,-19.7,-15.0,66.0,60.4,66.0,SI,NR,7.0476190476190474,228.33333333333334,1857,2.5,South Indian,NR
1857174N26274,1857-06-22 12:00:00,1857-06-25 12:00:00,25,26.2,26.2,30.1,-86.5,-91.8,-86.5,,TS,5.48,305.0,1857,3.0,,Tropical Storm
1857181N34286,1857-06-30 00:00:00,1857-07-01 18:00:00,15,34.0,34.0,36.0,-74.5,-74.5,-66.0,,TS,10.466666666666667,72.33333333333333,1857,1.75,,Tropical Storm
1857185N25277,1857-07-03 12:00:00,1857-07-04 18:00:00,11,24.6,24.3,25.7,-83.1,-83.1,-80.4,,TS,6.454545454545454,70.45454545454545,1857,1.25,,Tropical Storm
1857229N16276,1857-08-16 12:00:00,1857-08-23 12:00:00,57,15.8,15.8,26.8,-84.0,-86.5,-79.0,,TS,5.5964912280701755,213.68421052631578,1857,7.0,,Tropical Storm
1857230N10315,1857-08-17 12:00:00,1857-08-20 18:00:00,27,9.6,9.6,10.3,-45.5,-62.8,-45.5,,TS,13.185185185185185,271.85185185185185,1857,3.25,,Tropical Storm
1857249N27286,1857-09-05 12:00:00,1857-09-18 06:00:00,103,26.8,26.8,50.0,-74.2,-78.1,-30.0,,TS,9.640776699029127,158.59223300970874,1857,12.75,,Tropical Storm
1857251N13300,1857-09-07 12:00:00,1857-09-16 12:00:00,73,12.8,12.8,20.1,-60.0,-94.8,-60.0,,TS,9.657534246575343,283.28767123287673,1857,9.0,,Tropical Storm
1857261N16301,1857-09-17 12:00:00,1857-09-30 18:00:00,107,16.0,16.0,24.6,-59.5,-99.1,-59.5,,TS,7.327102803738318,282.89719626168227,1857,13.25,,Tropical Storm
1857265N33287,1857-09-22 00:00:00,1857-09-26 18:00:00,39,32.5,32.5,32.5,-73.5,-73.5,-73.5,,TS,0.0,0.0,1857,4.75,,Tropical Storm
1857267N16305,1857-09-24 00:00:00,1857-09-30 18:00:00,56,16.0,16.0,27.0,-54.7,-99.1,-54.7,,TS,16.339285714285715,285.44642857142856,1857,6.75,,Tropical Storm
1857279N18282,1857-10-05 12:00:00,1857-10-12 00:00:00,53,18.0,18.0,33.8,-78.0,-81.3,-67.6,,TS,9.622641509433961,208.30188679245282,1857,6.5,,Tropical Storm
1857290N32325,1857-10-16 12:00:00,1857-10-23 18:00:00,59,32.0,32.0,44.8,-35.5,-35.5,-29.5,,TS,4.796610169491525,28.135593220338983,1857,7.25,,Tropical Storm
1857313N17300,1857-11-08 12:00:00,1857-11-15 12:00:00,57,17.3,17.3,25.5,-60.5,-82.0,-60.5,,TS,8.807017543859649,280.87719298245617,1857,7.0,,Tropical Storm
1857335S15062,1857-12-01 06:00:00,1857-12-06 06:00:00,41,-14.8,-25.4,-14.8,62.2,59.4,62.2,SI,NR,6.0,184.7560975609756,1857,5.0,South Indian,NR
1857335S15422,1857-11-30 18:00:00,1857-12-04 06:00:00,29,-15.0,-24.5,-15.0,61.8,59.3,61.8,SI,NR,7.275862068965517,192.75862068965517,1857,3.5,South Indian,NR
1857355S06086,1857-12-21 06:00:00,1857-12-28 06:00:00,57,-6.4,-14.4,-6.4,85.9,79.5,85.9,SI,NR,4.7894736842105265,187.01754385964912,1857,7.0,South Indian,NR
1858011S09058,1858-01-11 06:00:00,1858-01-21 06:00:00,81,-9.0,-27.1,-9.0,57.7,54.0,57.7,SI,NR,4.753086419753086,181.79012345679013,1858,10.0,South Indian,NR
1858052S12061,1858-02-21 06:00:00,1858-02-27 06:00:00,49,-12.4,-23.2,-12.4,60.5,52.9,60.5,SI,NR,5.36734693877551,213.26530612244898,1858,6.0,South Indian,NR
1858060S12078,1858-02-28 18:00:00,1858-03-05 06:00:00,37,-12.3,-23.5,-12.3,78.2,72.5,78.2,SI,NR,7.648648648648648,190.27027027027026,1858,4.5,South Indian,NR
1858060S12079,1858-03-01 06:00:00,1858-03-07 06:00:00,49,-12.1,-24.1,-12.1,78.8,72.4,78.8,SI,NR,6.346938775510204,183.9795918367347,1858,6.0,South Indian,NR
1858091S12048,1858-04-01 06:00:00,1858-04-05 06:00:00,33,-12.3,-18.6,-12.3,48.1,39.3,48.1,SI,NR,7.03030303030303,222.42424242424244,1858,4.0,South Indian,NR
1858091S12408,1858-03-31 18:00:00,1858-04-03 06:00:00,21,-12.3,-17.2,-12.3,47.6,39.7,47.6,SI,NR,9.714285714285714,236.42857142857142,1858,2.5,South Indian,NR
1858162N17283,1858-06-10 18:00:00,1858-06-15 18:00:00,41,16.8,16.8,23.8,-77.0,-99.9,-77.0,,TS,11.268292682926829,288.5365853658537,1858,5.0,,Tropical Storm
1858224N27287,1858-08-11 12:00:00,1858-08-20 12:00:00,73,27.0,27.0,45.0,-73.0,-75.6,-53.2,,TS,8.438356164383562,227.6027397260274,1858,9.0,,Tropical Storm
1858254N21273,1858-09-11 06:00:00,1858-09-17 06:00:00,50,21.5,21.5,50.7,-87.5,-87.5,-65.8,,TS,15.86,36.7,1858,6.0,,Tropical Storm
1858257N15325,1858-09-13 12:00:00,1858-09-24 12:00:00,89,14.5,14.5,42.5,-35.5,-45.4,-31.0,,TS,8.49438202247191,140.0561797752809,1858,11.0,,Tropical Storm
1858260N18319,1858-09-17 00:00:00,1858-09-24 18:00:00,63,18.4,18.4,46.5,-41.4,-63.8,-41.4,,TS,14.634920634920634,211.11111111111111,1858,7.75,,Tropical Storm
1858263N25299,1858-09-19 12:00:00,1858-09-25 18:00:00,51,25.1,25.1,44.4,-61.2,-69.5,-45.6,,TS,13.196078431372548,180.58823529411765,1858,6.25,,Tropical Storm
1858266N22286,1858-09-22 12:00:00,1858-09-25 18:00:00,27,21.9,21.9,36.5,-74.0,-74.1,-72.6,,TS,11.333333333333334,47.592592592592595,1858,3.25,,Tropical Storm
1858289N24311,1858-10-16 00:00:00,1858-10-21 12:00:00,45,24.0,24.0,33.0,-49.4,-49.4,-34.5,,TS,7.288888888888889,55.111111111111114,1858,5.5,,Tropical Storm
1858291N21287,1858-10-18 00:00:00,1858-10-26 06:00:00,67,20.5,20.5,43.2,-72.7,-74.0,-56.0,,TS,8.567164179104477,131.044776119403,1858,8.25,,Tropical Storm
1858298N37296,1858-10-25 06:00:00,1858-10-27 00:00:00,15,37.1,37.1,44.0,-64.3,-64.3,-53.5,,ET,14.866666666666667,48.666666666666664,1858,1.75,,Extratropical
1858305S26053,1858-10-31 18:00:00,1858-11-03 06:00:00,21,-25.5,-30.5,-25.5,52.6,52.6,60.0,SI,NR,8.142857142857142,127.85714285714286,1858,2.5,South Indian,NR
1858319N12280,1858-11-14 12:00:00,1858-11-18 12:00:00,33,11.8,11.8,17.0,-79.6,-79.6,-77.5,,TS,3.9696969696969697,96.21212121212122,1858,4.0,,Tropical Storm
1858325S25052,1858-11-21 06:00:00,1858-11-26 06:00:00,41,-25.3,-31.4,-25.3,52.2,52.2,61.3,SI,NR,4.975609756097561,127.1951219512195,1858,5.0,South Indian,NR
1858345S08093,1858-12-10 18:00:00,1858-12-12 06:00:00,13,-8.0,-14.0,-8.0,93.3,90.4,93.3,SI,NR,10.923076923076923,206.15384615384616,1858,1.5,South Indian,NR
