sid,kf_mean_error,kf_std_error,kf_forecast_count,lead_time_hours,null_mean_error,null_std_error,null_forecast_count,basin,nature,start_time,end_time,lat,lon,better_model
1863270N21267,182.07896542648066,251.04932070542847,30,6,167.1301074389516,227.82085319811014,30,,TS,1863-09-26 12:00:00,1863-10-04 12:00:00,21.3,-93.5,Null Model
1863325S12086,43.14382496759726,48.36692901106637,30,6,47.276889636282284,58.82748941182559,30,SI,NR,1863-11-21 06:00:00,1863-11-25 06:00:00,-12.4,86.4,Kalman Filter
1863335S17067,70.58309769947637,100.26618680075914,30,6,57.60102335932673,60.095259047132636,30,SI,NR,1863-11-30 18:00:00,1863-12-06 06:00:00,-16.8,66.8,Null Model
1864011S07080,111.62501683928254,150.8531797745908,25,6,131.3650489330652,165.4411493731064,25,SI,NR,1864-01-11 06:00:00,1864-01-18 06:00:00,-7.1,79.6,Kalman Filter
1864112S09075,46.342294980894984,46.7776192849494,30,6,50.33949912745344,44.35882414023801,30,SI,NR,1864-04-21 06:00:00,1864-04-29 06:00:00,-9.3,75.3,Kalman Filter
1864112S10075,67.65233540100216,80.02407905507519,30,6,64.47556806033765,78.10498500427765,30,SI,NR,1864-04-20 18:00:00,1864-04-27 06:00:00,-9.6,75.1,Null Model
1864197N35285,391.84017718108015,445.1136283238227,35,6,310.82332765867983,389.48621474073207,35,,TS,1864-07-15 00:00:00,1864-07-18 18:00:00,35.0,-75.5,Null Model
1864239N15306,58.929514589927024,91.48623028808397,30,6,70.0784897067368,92.14699250839743,30,,TS,1864-08-26 00:00:00,1864-09-05 06:00:00,14.8,-54.5,Kalman Filter
1864243N15338,100.01688939066283,123.15667535196977,30,6,105.16404870691312,130.73908985509445,30,,TS,1864-08-29 12:00:00,1864-09-02 00:00:00,15.0,-22.5,Kalman Filter
1864246N17315,96.46202863574717,185.7459082408336,30,6,97.84299370830422,184.70408141764761,30,,TS,1864-09-02 00:00:00,1864-09-13 12:00:00,17.3,-44.8,Kalman Filter
1864283N18290,308.1236452319509,397.91889917366467,30,6,250.88680735238123,376.4201213313282,30,,ET,1864-10-08 12:00:00,1864-10-14 12:00:00,17.7,-70.2,Null Model
1864296N29288,316.5218173786937,370.7944014745942,30,6,278.5127865202256,342.23709078473934,30,,TS,1864-10-22 00:00:00,1864-10-24 18:00:00,28.5,-72.0,Null Model
1865021S32056,52.22707377368359,55.50193508322343,40,6,52.50691382993921,62.51571007917712,40,SI,NR,1865-01-21 06:00:00,1865-01-24 06:00:00,-32.1,55.9,Kalman Filter
1865052S13058,121.22518359724585,155.19306573989928,30,6,104.83010360462237,131.34004939668213,30,SI,NR,1865-02-21 06:00:00,1865-02-25 06:00:00,-12.9,58.2,Null Model
1865080S11085,154.1375664424863,143.17349377188052,30,6,128.67975217601995,141.7218029884038,30,SI,NR,1865-03-20 18:00:00,1865-03-24 06:00:00,-11.2,85.2,Null Model
1865101S09076,59.45087071723216,60.63290956576199,30,6,62.25063952053499,65.49768396875893,30,SI,NR,1865-04-11 06:00:00,1865-04-16 06:00:00,-9.4,76.1,Kalman Filter
1865239N24282,90.87216008852313,102.8575433794003,30,6,81.64866144999702,93.91360673842348,30,,TS,1865-08-26 12:00:00,1865-08-30 12:00:00,24.2,-77.6,Null Model
1865247N13318,80.7175718890804,88.68673650870025,25,6,69.37929197437434,85.61104367568963,25,,TS,1865-09-04 00:00:00,1865-09-14 18:00:00,13.0,-42.3,Null Model
1865252N15319,191.95248129280864,399.1970365241904,30,6,189.64326138777452,395.2995126258054,30,,TS,1865-09-08 12:00:00,1865-09-18 18:00:00,15.0,-41.0,Null Model
1865297N28280,441.13425150450536,705.2171375098942,30,6,445.83666107925296,756.6661025689666,30,,TS,1865-10-24 06:00:00,1865-10-30 12:00:00,28.1,-79.8,Kalman Filter
1866032S19072,128.95797754239962,157.11770221534763,30,6,117.42135176623643,160.75330581756714,30,SI,NR,1866-02-01 06:00:00,1866-02-05 06:00:00,-19.3,72.0,Null Model
1866060S13091,73.90623570253828,124.12696144899031,30,6,117.39506520835928,172.68337800491915,30,SI,NR,1866-02-28 18:00:00,1866-03-08 06:00:00,-13.3,90.6,Kalman Filter
1866080S14080,55.57649232967639,61.31612755040014,30,6,31.903770507657562,29.003801638396865,30,SI,NR,1866-03-20 18:00:00,1866-03-24 06:00:00,-14.0,80.2,Null Model
1866193N27271,32.73210316508777,44.13412461257662,30,6,43.76533453772174,44.74161113866182,30,,TS,1866-07-11 12:00:00,1866-07-16 12:00:00,27.2,-88.8,Kalman Filter
1866225N14298,85.48105584903384,78.12344211160807,30,6,94.33112121431176,99.36700470655153,30,,TS,1866-08-13 00:00:00,1866-08-18 06:00:00,14.5,-61.9,Kalman Filter
1866247N33292,183.5327149576112,199.78744898805618,25,6,163.9757647082268,187.84134523014833,25,,TS,1866-09-04 00:00:00,1866-09-07 06:00:00,33.0,-68.1,Null Model
1866260N12333,92.21469474518258,133.37329003867515,30,6,84.51658396160093,136.2112735067875,30,,TS,1866-09-17 00:00:00,1866-09-22 00:00:00,12.1,-26.7,Null Model
1866270N25284,249.8945991126431,314.1999765334667,30,6,231.88953743410994,345.22994001707804,30,,TS,1866-09-26 12:00:00,1866-10-02 18:00:00,24.7,-75.8,Null Model
1866295N28326,87.55628409676848,130.20060236633267,30,6,70.30819976769386,122.47440574579505,30,,TS,1866-10-21 12:00:00,1866-10-31 12:00:00,27.5,-34.0,Null Model
1866305S09073,93.25317801527048,109.58812941244071,25,6,51.747458316178,61.17894683890193,25,SI,NR,1866-10-31 18:00:00,1866-11-05 06:00:00,-8.7,72.6,Null Model
1867042S15071,29.335695739717902,24.899493511751366,30,6,37.06598648082455,33.009919788280136,30,SI,NR,1867-02-11 06:00:00,1867-02-19 06:00:00,-14.6,71.3,Kalman Filter
1867121S13069,51.858755945507504,51.42676325539649,25,6,57.14942619915638,62.46347619745979,25,SI,NR,1867-04-30 18:00:00,1867-05-05 06:00:00,-13.1,69.1,Kalman Filter
1867121S13070,47.17396452188917,49.190354237514676,30,6,56.04430265866008,54.19529506309478,30,SI,NR,1867-05-01 06:00:00,1867-05-07 06:00:00,-12.9,69.5,Kalman Filter
1867242N12333,94.26187299787239,120.59995693266872,30,6,72.19203473963924,87.94022603701214,30,,TS,1867-08-29 12:00:00,1867-09-13 12:00:00,12.3,-27.5,Null Model
1867270N36291,246.43303612328214,281.701112481186,25,6,210.28932515081127,271.28065628912964,25,,TS,1867-09-27 00:00:00,1867-10-01 12:00:00,35.5,-69.5,Null Model
1867272N30286,121.50186851793133,136.68781587717638,10,6,120.06697868224963,138.46020345842183,10,,TS,1867-09-29 00:00:00,1867-10-01 06:00:00,30.1,-73.6,Null Model
1868011S17062,155.2083361591766,156.03485166601962,30,6,138.49461238758477,158.67097092345688,30,SI,NR,1868-01-11 06:00:00,1868-01-15 06:00:00,-17.3,61.9,Null Model
1868032S17441,80.81756440497608,102.87248270344097,30,6,81.60598234481176,100.11181578124884,30,SI,NR,1868-01-31 18:00:00,1868-02-07 06:00:00,-17.4,80.5,Kalman Filter
1868071S15426,66.67693423465846,77.60248071472283,30,6,63.0779539051209,72.95440402897606,30,SI,NR,1868-03-10 18:00:00,1868-03-16 06:00:00,-15.0,65.6,Null Model
1868193N13303,62.621661859519335,67.40392716820975,40,6,54.163304453134195,66.82933517671428,40,,TS,1868-07-10 12:00:00,1868-07-13 12:00:00,12.5,-57.5,Null Model
1868306S08077,42.212848272213144,37.41612633455214,25,6,43.29867836043659,40.425751097663216,25,SI,NR,1868-10-31 18:00:00,1868-11-05 06:00:00,-8.4,76.5,Kalman Filter
1869039S19053,41.13920212833554,42.52453270923379,30,6,56.8746899116535,51.30509590933808,30,SI,NR,1869-02-08 06:00:00,1869-02-12 06:00:00,-18.7,53.3,Kalman Filter
1869042S20072,133.95475381250165,149.08048807919124,30,6,122.50604893343862,148.13292001613226,30,SI,NR,1869-02-11 06:00:00,1869-02-15 06:00:00,-19.5,71.6,Null Model
1869046S20071,174.59338041505833,235.8909937101563,20,6,187.19848342305926,264.6718426317771,20,SI,NR,1869-02-14 18:00:00,1869-02-17 06:00:00,-19.8,71.3,Kalman Filter
1869247N26271,83.18788152965058,125.37793826645861,40,6,92.79717543975453,125.94473303780985,40,,TS,1869-09-04 00:00:00,1869-09-07 00:00:00,26.3,-89.1,Kalman Filter
1869345S18073,91.01130355418499,109.88102752825506,30,6,84.93150676021648,113.59768157787157,30,SI,NR,1869-12-11 06:00:00,1869-12-16 06:00:00,-17.5,73.1,Null Model
1870021S10057,147.9235175482756,162.45151569740665,30,6,122.07598819556179,143.34287688986083,30,SI,NR,1870-01-21 06:00:00,1870-01-25 06:00:00,-10.0,56.5,Null Model
1870052S20109,35.80794074751164,36.074387125415655,30,6,51.53228207123919,46.27335634583396,30,SI,NR,1870-02-21 06:00:00,1870-03-01 06:00:00,-20.3,109.1,Kalman Filter
1870101S07108,92.48042662837948,136.57786231677153,30,6,57.14163678031174,74.59550642108758,30,SI,NR,1870-04-10 18:00:00,1870-04-19 06:00:00,-6.8,107.5,Null Model
1870101S09447,47.163152065957355,56.7157920119523,25,6,52.08155301893098,57.1787407959819,25,SI,NR,1870-04-10 18:00:00,1870-04-20 06:00:00,-8.7,86.5,Kalman Filter
1870238N14310,127.89944842248852,242.14443730316253,30,6,132.30946977669484,229.90876018130996,30,,TS,1870-08-25 12:00:00,1870-09-05 00:00:00,14.1,-50.1,Kalman Filter
1870242N13338,163.3795191997922,218.0310760698469,30,6,165.59570609087334,238.0910367368573,30,,TS,1870-08-29 12:00:00,1870-09-13 18:00:00,13.0,-21.7,Kalman Filter
1870252N13315,218.99537864008624,483.7258649477297,30,6,163.64263071110028,325.2330019362645,30,,TS,1870-09-08 12:00:00,1870-09-20 18:00:00,12.6,-44.7,Null Model
1870264N11332,103.46225943673753,243.64809947088366,30,6,118.6162395113819,244.7913230113588,30,,TS,1870-09-20 12:00:00,1870-10-01 18:00:00,11.0,-27.9,Kalman Filter
1870280N10331,509.57097233061154,580.6110583317502,30,6,386.3171884556113,479.7526331666641,30,,TS,1870-10-07 00:00:00,1870-10-12 00:00:00,10.0,-29.0,Null Model
1870310N28324,242.01206924242788,310.21484323143505,30,6,257.17530184435134,475.07198818848957,30,,TS,1870-11-05 12:00:00,1870-11-16 12:00:00,28.0,-36.0,Kalman Filter
